,index,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),This Month Full Load Hours (h),Total Yield (kWh),Daily Value (kWh),poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
64,64,2025-03-06,3.59,0.793,7.264399999999999,-2.0625,6.541666666666667,3.375,0.0,65.7,8388.7,49.3,3.4265638914350522,0.0364929054437833,1350.9475170713881,3,49.3,0.0493,0.026622,1.210090909090909,0.005787391304347827,0.0049299999999999995,0.04437,0.0106488,11.574782608695653
65,65,2025-03-07,3.383,1.192,5.8297,0.24583333333333326,56.666666666666664,3.3321759259259256,0.0,65.7,8388.7,44.8,3.2890449440894676,0.035028328654552826,1278.964818499186,3,44.8,0.0448,0.024192,1.0996363636363637,0.005259130434782609,0.00448,0.04032,0.009676800000000001,10.518260869565218
66,66,2025-03-08,2.786,1.465,2.8835,2.120833333333333,86.5,2.7650462962962963,0.0,65.7,8388.7,40.4,2.4682801075716885,0.02628718314563848,1536.8706405769115,3,40.4,0.0404,0.021816000000000002,0.9916363636363638,0.0047426086956521745,0.00404,0.036359999999999996,0.0087264,9.48521739130435
67,67,2025-03-09,1.167,1.069,0.4821,0.39999999999999997,100.0,1.5138888888888888,4.4,65.7,8388.7,13.0,1.1942759901995277,0.01271903929562497,1022.0897740658505,3,13.0,0.013,0.00702,0.3190909090909091,0.0015260869565217393,0.0013,0.0117,0.002808,3.052173913043479
68,68,2025-03-10,3.013,1.789,2.6033000000000004,-7.079166666666667,97.29166666666667,3.2129629629629632,2.3000000000000003,65.7,8388.7,24.7,2.682527718071613,0.028568920197462676,864.5759037891012,3,24.7,0.0247,0.013338000000000001,0.6062727272727273,0.002899565217391305,0.00247,0.02223,0.0053352,5.79913043478261
69,69,2025-03-11,3.554,1.599,4.6174,-3.745833333333333,72.95833333333333,1.681712962962963,0.0,65.7,8388.7,43.9,3.2684997710591177,0.034809522561779604,1261.14915601289,3,43.9,0.0439,0.023706,1.0775454545454546,0.005153478260869566,0.00439,0.03951,0.0094824,10.306956521739133
70,70,2025-03-12,2.49,1.832,1.7905,-5.366666666666667,81.0,2.9837962962962963,0.30000000000000004,65.7,8388.7,15.0,2.4203323180488874,0.02577653918722065,581.924512482134,3,15.0,0.015,0.0081,0.36818181818181817,0.0017608695652173913,0.0015,0.0135,0.00324,3.5217391304347827
71,71,2025-03-13,1.31,1.31,0.0,-7.5125,100.0,4.972222222222222,6.2,65.7,8388.7,6.7,1.2441849796091056,0.013250570032836976,505.63862410419756,3,6.7,0.0067,0.0036180000000000006,0.1644545454545455,0.000786521739130435,0.00067,0.006030000000000001,0.0014472000000000003,1.57304347826087
72,72,2025-03-14,3.765,1.835,4.2997,-14.549999999999999,96.54166666666667,3.260416666666666,2.1999999999999997,65.7,8388.7,3.4,3.3989646525473995,0.036198973549629795,93.92531518437963,3,3.4,0.0034,0.001836,0.08345454545454546,0.0003991304347826087,0.00033999999999999997,0.00306,0.0007344,0.7982608695652174
73,73,2025-03-15,3.633,2.321,2.9994,-16.9375,73.16666666666667,1.230324074074074,0.0,65.7,8388.7,2.8,3.364721060051661,0.035834279289550186,78.13747214992885,3,2.8,0.0028,0.001512,0.06872727272727273,0.00032869565217391307,0.00028,0.00252,0.0006048000000000001,0.6573913043478261
74,74,2025-03-16,3.647,2.243,3.0241,-14.258333333333333,88.58333333333333,3.09375,0.0,65.7,8388.7,7.5,3.307105719766408,0.03522067591551224,212.9431024546799,3,7.5,0.0075,0.00405,0.18409090909090908,0.0008804347826086957,0.00075,0.00675,0.00162,1.7608695652173914
75,75,2025-03-17,4.032,1.572,4.9698,-7.041666666666667,76.95833333333333,2.25,1.2,65.7,8388.7,15.8,3.438495147432014,0.03661997332015095,431.45853389537297,3,15.8,0.0158,0.008532000000000001,0.3878181818181819,0.0018547826086956526,0.0015800000000000002,0.014220000000000002,0.0034128000000000006,3.7095652173913054
